26/06/2023 16:12:41 - Erro ao inserir a linha 229, os dados já existem
26/06/2023 16:12:41 - Erro ao inserir a linha 230, os dados já existem
26/06/2023 16:12:41 - Erro ao inserir a linha 231, os dados já existem
26/06/2023 16:12:41 - Erro ao inserir a linha 232, os dados já existem
26/06/2023 16:12:41 - Erro ao inserir a linha 233, os dados já existem
26/06/2023 16:12:41 - Erro ao inserir a linha 234, os dados já existem
26/06/2023 16:12:41 - Erro ao inserir a linha 235, os dados já existem
26/06/2023 16:12:41 - Erro ao inserir a linha 236, os dados já existem
26/06/2023 16:12:41 - Erro ao inserir a linha 237, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 1, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 2, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 3, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 4, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 5, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 6, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 7, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 8, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 9, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 10, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 11, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 12, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 13, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 14, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 15, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 16, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 17, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 18, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 19, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 20, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 21, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 22, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 23, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 24, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 25, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 26, os dados já existem
26/06/2023 16:12:43 - Erro ao inserir a linha 27, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 28, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 29, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 30, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 31, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 32, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 33, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 34, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 35, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 36, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 37, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 38, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 39, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 40, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 41, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 42, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 43, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 44, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 45, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 46, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 47, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 48, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 49, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 50, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 51, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 52, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 53, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 54, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 55, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 56, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 57, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 58, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 59, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 60, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 61, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 62, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 63, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 64, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 65, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 66, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 67, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 68, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 69, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 70, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 71, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 72, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 73, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 74, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 75, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 76, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 77, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 78, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 79, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 80, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 81, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 82, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 83, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 84, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 85, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 86, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 87, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 88, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 89, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 90, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 91, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 92, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 93, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 94, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 95, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 96, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 97, os dados já existem
26/06/2023 16:12:44 - Erro ao inserir a linha 98, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 99, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 100, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 101, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 102, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 103, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 104, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 105, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 106, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 107, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 108, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 109, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 110, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 111, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 112, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 113, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 114, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 115, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 116, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 117, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 118, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 119, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 120, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 121, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 122, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 123, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 124, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 125, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 126, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 127, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 128, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 129, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 130, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 131, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 132, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 133, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 134, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 135, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 136, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 137, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 138, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 139, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 140, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 141, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 142, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 143, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 144, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 145, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 146, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 147, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 148, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 149, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 150, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 151, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 152, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 153, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 154, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 155, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 156, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 157, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 158, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 159, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 160, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 161, os dados já existem
26/06/2023 16:12:45 - Erro ao inserir a linha 162, os dados já existem
